P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
2.0265 -878.2421777347726 NaN -881.3800638845112 -885.0121066237049 NaN -877.3994977783765 NaN -869.6206322438595 -885.1096349625665 -881.835292559818 -879.7258669857551 -879.1100397374114 -879.1717427288505 -876.927101494777 -877.4529403700992 NaN -871.1478044427778 -880.0866675114102 NaN NaN NaN NaN NaN -879.6932692962747 -881.9600630699107 -877.5076506706565 -885.7152781066495 -874.1511767360721
2.2798125 -876.9978227057084 NaN -880.2181725326941 -883.9102347486324 NaN -876.3616705575728 NaN -868.2107784308964 -884.0038389568658 -880.7797170763835 -878.6444481270971 -878.0100582105052 -878.094254982142 -875.7473940638301 -876.3408922655063 NaN -870.1688480314065 -879.0394884820122 NaN NaN NaN NaN NaN -878.6615615142478 -880.9266800468321 -876.4633358134209 -884.6010514443118 -872.8434024574469
2.533125 -875.755432808984 NaN -879.0577956857861 -882.8096369021653 NaN -875.3249336540484 NaN -866.8043397758028 -882.8993198107803 -879.7252819089445 -877.5643499486911 -876.9114055064927 -877.0181628292745 -874.5697526576728 -875.2302444223313 NaN -869.1909165458019 -877.9936161800555 NaN NaN NaN NaN NaN -877.6310658038929 -879.8943627156696 -875.4203866079741 -883.4880804673542 -871.5374896466394
2.7864375 -874.5149812069839 NaN -877.898921829048 -881.7103022746257 NaN -874.2892773494932 NaN -865.4011662857191 -881.7960675571098 -878.6720060682981 -876.4855677468005 -875.8141093212012 -875.9434466257003 -873.3941500322916 -874.120991784645 NaN -868.2139836471592 -876.9490272910036 NaN NaN NaN NaN NaN -876.6017748882265 -878.8630942721097 -874.3787502417662 -882.3763579679936 -870.2333908853651
3.0397499999999997 -873.2764482345518 NaN -876.741569337549 -880.6122196423008 NaN -873.2546919228243 NaN -864.0011701907983 -880.6940911169921 -877.6198914295612 -875.4081012147053 -874.7181947375279 -874.8700959436281 -872.22069348773 -873.0131348825029 NaN -867.2380228719817 -875.9056984769716 NaN NaN NaN NaN NaN -875.5736772642798 -877.8328812360928 -873.3383864459499 -881.2658675553694 -868.9311709323146
3.2930625 -872.0398191459115 NaN -875.585733756187 -879.5153676018342 NaN -872.2211716061274 NaN -862.6043955958908 -879.5933833299624 -876.5689200516372 -874.3319464553168 -873.6236051906387 -873.7981107702356 -871.0493896850963 -871.906648752987 NaN -866.2630262180016 -874.8636259602591 NaN NaN NaN NaN NaN -874.5467560491404 -876.8037289738733 -872.2992705941745 -880.1565928544702 -867.6308635184649
3.546375 -870.80509090544 NaN -874.4313940934165 -878.4197515112116 NaN -871.1887142722952 NaN -861.2108752972282 -878.4939316232786 -875.519073978758 -873.2570995590618 -872.5302593417151 -872.7274910962641 -869.8802298711555 -870.80150779703 NaN -865.2890009810716 -873.8228120124021 NaN NaN NaN NaN NaN -873.5209943517708 -875.7756428037253 -871.2613838833504 -879.0485223722936 -866.3324181022787
3.7996874999999997 -869.5722693559366 NaN -873.2785292799693 -877.3254066572173 NaN -870.1573108458745 NaN -859.8204872481765 -877.395724151236 -874.470349887698 -872.1835387578221 -871.4381428177769 -871.6582186595998 -868.7131748150686 -869.697715099355 NaN -864.3159391296462 -872.783235114535 NaN NaN NaN NaN NaN -872.4963828505754 -874.7486144114299 -870.2247158163194 -877.9416480488934 -865.0357844380015
4.053 -868.3413016254895 NaN -872.1271147406362 -876.2323211624291 NaN -869.1269537628333 NaN -858.4331014825596 -876.2987544283247 -873.4227508342561 -871.1112483732977 -870.3473070591224 -870.5902577009779 -867.5482061037084 -868.5952642731074 NaN -863.3438335901407 -871.744873672769 NaN NaN NaN NaN NaN -871.4729188378999 -873.722613775469 -869.1892559247657 -876.8359686423059 -863.7409465872037
4.3063125 -867.1121666239483 NaN -870.9771532692665 -875.1404598131394 NaN -868.0976462064356 NaN -857.0487170146777 -875.2030215638033 -872.376268441585 -870.0402308525065 -869.257749104656 -869.5235876567524 -866.3853331447361 -867.4941396960169 NaN -862.3726787850275 -870.7077242788251 NaN NaN NaN NaN NaN -870.4505979113777 -872.6976212668019 -868.1549785026973 -875.7314793856809 -862.4479068356684
