P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
-0.506625 NaN NaN NaN NaN NaN -870.7802716265707 NaN -867.1881769225603 -879.0110036845501 NaN NaN NaN NaN -872.0027509563487 -871.8546448612465 NaN -865.18303564621 NaN NaN NaN NaN NaN NaN -873.3642303303626 NaN NaN NaN -870.8513920165273
-0.2533125 -872.9168536492131 NaN -874.6770083842331 -877.6447110325078 NaN -869.6985885273888 NaN -865.7004192313401 -877.8628627580572 -874.3589841075574 NaN NaN NaN -870.7663957724465 -870.6976299790786 NaN -864.1492490178606 -872.9708091093527 NaN NaN NaN NaN NaN -872.2808669173417 -874.3758230388604 NaN -878.347366998002 -869.4941510221594
0. -871.6202988530752 NaN -873.4708428715111 -876.5022285085715 NaN -868.6183323188827 NaN -864.2172024466466 -876.7163699579914 -873.2597291263052 NaN NaN NaN -869.5328484478398 -869.5424344821457 NaN -863.1171877103253 -871.8794865119411 NaN NaN NaN NaN NaN -871.1993145246457 -873.300505061461 NaN -877.1939674347059 -868.1393347353012
0.2533125 -870.3272915775268 NaN -872.2665081028049 -875.3613652760537 NaN -867.5385819817759 NaN -862.7380278264939 -875.5711685835553 -872.1633011313644 NaN -869.5585376879998 NaN -868.3009004013234 -868.3889393886896 NaN -862.086805139674 -870.7898277113353 NaN NaN NaN NaN NaN -870.1194608539702 -872.226617427973 NaN -876.0421311482878 -866.7875348626427
0.506625 -869.0390556709489 NaN -871.0635902021133 -874.2221021079067 NaN -866.4602569448475 NaN -861.2627854725555 -874.4275810649681 -871.0685084276449 NaN -868.4186086422183 NaN -867.0715865326282 -867.2373337841358 NaN -861.0580661161166 -869.7018107513479 NaN NaN NaN NaN NaN -869.0412503456413 -871.1540871916345 NaN -874.8918729414481 -865.4406109751745
0.7599374999999999 -867.751568816005 NaN -869.8628194139591 -873.0844108315111 NaN -865.3839255422515 NaN -859.7915904505079 -873.2857714569731 -869.9745178832352 NaN -867.2803966141535 NaN -865.8456764907339 -866.0876660342482 NaN -860.0309574952641 -868.6154293369672 NaN NaN NaN NaN NaN -867.9646886445722 -870.0828972782607 NaN -873.7431828507221 -864.0947163459613
1.01325 -866.4624639089014 NaN -868.6647249869579 -871.9482780072881 NaN -864.3090730905815 NaN -858.3246137495034 -872.1455434183155 -868.8819878134542 NaN -866.1438962281459 NaN -864.6225731454413 -864.9398451317945 NaN -859.0054536012191 -867.53067717316 NaN NaN NaN NaN NaN -866.8897814222148 -869.0131085550373 NaN -872.5959984469354 -862.747289556884
1.2665625 -865.1758090687011 NaN -867.4684101500737 -870.8137094165584 NaN -863.235658625263 NaN -856.8621158660999 -871.0068589856113 -867.790937095968 NaN -865.0090784270601 NaN -863.4021894195793 -863.7938212174807 NaN -857.9815071739946 -866.4475291686446 NaN NaN NaN NaN NaN -865.816533906852 -867.9447464157707 NaN -871.4506671319426 -861.4024231042848
1.5198749999999999 -863.8936564959796 NaN -866.2736261798154 -869.6807106553675 NaN -862.1636438337629 NaN -855.404341628314 -869.8697156521237 -866.7013794654388 NaN -863.8758949543351 NaN -862.1843895293073 -862.6495610865198 NaN -856.9590708020705 -865.3659421778767 NaN NaN NaN NaN NaN -864.7449435949537 -866.8777919477759 NaN -870.3095031313538 -860.0618652678125
1.7731875 -862.6139443837297 NaN -865.0807113269716 -868.5492619264019 NaN -861.0930090050588 NaN -853.9505675275458 -868.7341650309121 -865.6132820273396 NaN -862.7443254117819 NaN -860.9691257675061 -861.5070897590651 NaN -855.9381317153403 -864.2859045110819 NaN NaN NaN NaN NaN -863.6750298055227 -865.8121996473415 NaN -869.1683049345452 -858.723583235013
2.0265 -861.3365331045613 NaN -863.8895962570327 -867.4193460014199 NaN -860.0237472130628 NaN -852.5004241255093 -867.600208969405 -864.5265963730769 NaN -861.6143827401627 NaN -859.7564023178336 -860.3664325430879 NaN -854.9187044457647 -863.2074143922075 NaN NaN NaN NaN NaN -862.6067655088821 -864.7479239241785 NaN -868.0246353254093 -857.38752614265
2.2798125 -860.061288090986 NaN -862.7002144635672 -866.2909611867922 NaN -858.955849715785 NaN -851.0541533419216 -866.4677904106463 -863.4413057731587 NaN -860.4860780349558 NaN -858.5461987659376 -859.2276134791019 NaN -853.9007703381027 -862.1304389990414 NaN NaN NaN NaN NaN -861.5400560834727 -863.6849327719798 NaN -866.8836028991884 -856.0536435942252
2.533125 -858.7882106120173 NaN -861.5125959414501 -865.1641054340462 NaN -857.8892968410365 NaN -849.6119016858361 -865.3368522559532 -862.3573935567093 NaN -859.3594016740461 NaN -857.338501611229 -858.0906553514766 NaN -852.8843098838723 -861.0549452993251 NaN NaN NaN NaN NaN -860.4748066280865 -862.6232081157003 NaN -865.7454025748464 -854.7219186532899
2.7864375 -857.51736895985 NaN -860.3267979027745 -864.0387630824558 NaN -856.8240577392077 NaN -848.1735919864542 -864.2073913304467 -861.2748793262465 NaN -858.2342988811644 NaN -856.1333087527873 NaN NaN -851.8693021844559 -859.9809534041531 NaN NaN NaN NaN NaN -859.4109986825877 -861.5627611553382 NaN -864.6087142539931 -853.3923594777434
3.0397499999999997 -856.2487639544509 NaN -859.142747562295 -862.9149131582735 NaN -855.7601016020432 NaN -846.7391406775911 -863.0794520161642 -860.1937703632191 NaN -857.110737972877 NaN -854.9306181714987 NaN NaN -850.8557263264722 -858.9084867063577 NaN NaN NaN NaN NaN -858.3486882092329 -860.5036323765565 NaN -863.4734618050683 -852.065026906002
3.2930625 -854.9823960661859 NaN -857.960391095207 -861.7925034754935 NaN -854.6974450335175 NaN -845.3082816215821 -861.9530229846405 -859.1140398266318 NaN -855.9887252299869 NaN -853.7303887157335 NaN NaN -849.8435400363378 -857.8375077282351 NaN NaN NaN NaN NaN -857.2878931618544 -859.4458101324888 NaN -862.3395673757855 -850.7399247729786
3.546375 -853.7181901483601 NaN -856.779737349994 -860.6715230972054 NaN -853.6361439342288 NaN -843.8809427110393 -860.8280512850032 -858.0356609628896 NaN -854.868267160776 NaN -852.5325550983341 NaN NaN -848.8326784894191 -856.7679789508476 NaN NaN NaN NaN NaN -856.2286082306402 -858.3892780554193 NaN -861.2070705721467 -849.4169778049438
3.7996874999999997 -852.4561121338077 NaN -855.6007952655757 -859.5519978686042 NaN -852.5761826410935 NaN -842.4572367090545 -859.7044742064397 -856.9586317359349 NaN -853.7493662613081 NaN -851.3371011596878 NaN NaN -847.8231174842559 -855.6998686636607 NaN NaN NaN NaN NaN -855.1707958897907 -857.3340111908855 NaN -860.0760159507278 -848.0961112103039
4.053 -851.1961958326344 NaN -854.4235782285368 -858.4339194700183 NaN -851.5175008828065 NaN -841.0372613438107 -858.5822693970346 -855.8829679188417 NaN -852.6320219036653 NaN -850.1440110992971 NaN NaN -846.8148661477028 -854.6331502061569 NaN NaN NaN NaN NaN -854.1144185205161 -856.2799844724764 NaN -858.9463632923118 -846.7773183884511
4.3063125 -849.9384747176723 NaN -853.24806345313 -857.3172671564516 NaN -850.4600739629749 NaN -839.6207932350317 -857.4614731864696 -854.8086296140624 NaN -851.516204190808 NaN -848.953267085749 NaN NaN -845.8079184191822 -853.5678497459684 NaN NaN NaN NaN NaN -853.0594533147596 -855.2271936161956 NaN -857.8180926387352 -845.4606320225743
4.559625 -848.6829274603288 NaN -852.0741977853451 -856.2020182326522 NaN -849.4038864473675 NaN -838.2075432148816 -856.3421220837921 -853.7355762179064 NaN -850.4018657784877 NaN -847.7648655247949 NaN NaN -844.8022673206236 -852.5039917099206 NaN NaN NaN NaN NaN -852.0058963417314 -854.175671453866 NaN -856.6912113933304 -844.1459864684082
4.812937499999999 -847.4295107650526 NaN -850.9019559642896 -855.0881273106226 NaN -848.348944582545 NaN -836.7979920409505 -855.2242101121029 -852.6638248711499 NaN -849.2889489273047 NaN -846.5788152142603 NaN NaN -843.7979044010667 -851.4415275555369 NaN NaN NaN NaN NaN -850.9537329863562 -853.1253889796167 NaN -855.5657083838296 -842.8333560221033
