P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
3.546375 -892.6147704568571 NaN -896.7468462852935 -900.8724432556778 NaN -893.1943683565987 NaN -883.0832964672736 -900.8345618382684 -897.5551121483611 NaN -894.9376947446285 NaN -891.881163210639 NaN NaN -886.3594286425296 -895.4603185717724 NaN NaN NaN NaN NaN -895.4083549664398 -897.827205334911 NaN -901.5840882024913 -888.0317220571519
3.7996874999999997 -891.4082456776946 NaN -895.6227935893379 -899.801496472289 NaN -892.184512788391 NaN -881.7450692306794 -899.753126467998 -896.53225023957 NaN -893.8725317941924 NaN -890.7333654017007 NaN NaN -885.4206917418174 -894.4472195000965 NaN NaN NaN NaN NaN -894.4109606992374 -896.8274100087232 NaN -900.4993085443398 -886.758535121507
4.053 -890.2102910959744 NaN -894.4856966006585 -898.7339435933857 NaN -891.1777511730004 NaN -880.4011442943236 -898.6737996375821 -895.512066840051 NaN -892.8094261874417 NaN -889.5901545614729 NaN NaN -884.4844453406802 -893.4368496728937 NaN NaN NaN NaN NaN -893.4159853066262 -895.8287254359287 NaN -899.4062809012828 -885.4945762936878
4.3063125 -889.0156635815775 NaN -893.3519276396581 -897.6712265800847 NaN -890.1836266985615 NaN -879.0337699473816 -897.6089815890964 -894.4945857942545 NaN -891.741266620488 NaN -888.4530843486334 NaN NaN -883.5481598766032 -892.4274594405646 NaN NaN NaN NaN NaN -892.4323232270581 -894.8305934280608 NaN -898.3197279374579 -884.2322375325152
4.559625 -887.8162476028979 NaN -892.2239088229799 -896.6057403706661 NaN -889.1913551929026 NaN -877.6743958042558 -896.5462451473848 -893.4789099426787 NaN -890.6759524788489 NaN -887.320709715304 NaN NaN -882.6141269816706 -891.4208281784965 NaN NaN NaN NaN NaN -891.4518693765244 -893.8346821032555 NaN -897.2477449179094 -882.9533464758456
4.812937499999999 -886.6202921483573 NaN -891.0994175203731 -895.5287431640043 NaN -888.1829913138444 NaN -876.3569731626171 -895.4699189096038 -892.457598809415 NaN -889.6101527766202 NaN -886.1938015999427 NaN NaN -881.6784447469531 -890.4165653586344 NaN NaN NaN NaN NaN -890.4590285614619 -892.8315496840233 NaN -896.1744146102549 -881.6789193483978
5.06625 -885.4234989888927 NaN -889.9830321161794 -894.4577361906527 NaN -887.1771176481983 NaN -875.0286438972284 -894.3964359206848 -891.4388629195007 NaN -888.5470870506961 NaN -885.0701413707989 NaN NaN -880.7451876467067 -889.4148922031926 NaN NaN NaN NaN NaN -889.4686846217965 -891.828783175529 NaN -895.0953512395427 -880.4122619139771
5.3195625 -884.2288157359742 NaN -888.8678540815689 -893.4029333550072 NaN -886.1801566595642 NaN -873.630721931087 -893.3288221214399 -890.4226732086988 NaN -887.4813371150585 NaN -883.936181166708 NaN NaN -879.816906460525 -888.4093067324387 NaN NaN NaN NaN NaN -888.4718051988141 -890.8326897372481 NaN -894.0141120725939 -879.1482924549402
5.572875 -883.0286464525352 NaN -887.7472378352909 -892.3440663052816 NaN -885.1858158144457 NaN -872.2391922346837 -892.2638669104479 -889.4085402947474 NaN -886.4181801501699 NaN -882.8066565057059 NaN NaN -878.8911979122009 -887.4056893785232 NaN NaN NaN NaN NaN -887.4771215464848 -889.8403130424178 NaN -892.9264352917253 -877.8813121797073
5.8261875 -881.8314927473763 NaN -886.6292175130934 -891.2739962250579 NaN -884.199239180039 NaN -870.9414971344496 -891.1928911113938 -888.3892690807073 NaN -885.3682068497601 NaN -881.684848427108 NaN NaN -877.9623761396572 -886.4000564969767 NaN NaN NaN NaN NaN -886.4952102398407 -888.8488260216782 NaN -891.8451353128057 -876.617226279285
