P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
-0.506625 NaN NaN -915.9467611570676 -919.1308474641376 NaN NaN NaN NaN -919.12901687457 NaN NaN NaN NaN NaN NaN NaN NaN -913.1438131918829 NaN NaN NaN NaN NaN -912.7174748988887 -915.1994902359232 NaN NaN NaN
-0.2533125 -911.9431361830466 NaN -914.7900756166277 -918.0301260043187 NaN -909.6426926021045 NaN -904.9629783817174 -918.0324673368441 -914.1884229721004 NaN NaN -911.1572778512593 -910.2822606845882 -910.1742709462312 NaN -902.0062198262922 -912.1048535977318 NaN NaN NaN NaN NaN -911.6996115014755 -914.173492373418 NaN -918.8664002754766 -908.321476410315
0. -910.70630751876 NaN -913.6367380625126 -916.9321730896833 NaN -908.6218128481379 NaN -903.561031811683 -916.9360884884811 -913.1447350415879 -911.1450329914172 NaN -910.0994036747534 -909.1103882845928 -909.0739204403797 NaN -901.0471031192268 -911.0686807261986 NaN NaN NaN NaN NaN -910.6844686398347 -913.1497611778133 NaN -917.7587065428937 -907.0172650623738
0.2533125 -909.4699054214043 NaN -912.484060835704 -915.842146044411 NaN -907.5922699450357 NaN -902.1533980836234 -915.8317962467547 -912.0971610669095 -910.0722864069448 -909.8711179333252 -909.0338428165458 -907.9352072023083 -907.9689702718299 NaN -900.0876897321684 -910.0324116228899 NaN NaN NaN NaN NaN -909.6630335117288 -912.1260471327568 NaN -916.6529098469118 -905.7135496125109
0.506625 -908.2341776245374 NaN -911.3324998358435 -914.7544710681218 NaN -906.5630188768494 NaN -900.7515812359778 -914.7370447583335 -911.0520734455151 -909.0022833067209 -908.7839495788676 -907.9697466867926 -906.7670785336225 -906.8669060576742 NaN -899.1304056942349 -908.9988068540257 NaN NaN NaN NaN NaN -908.6438070136903 -911.1045803801717 NaN -915.5491152641345 -904.4106435682188
0.7599374999999999 -907.0038341979808 NaN -910.1793180369928 -913.6621929051273 NaN -905.5438898888291 NaN -899.352594839655 -913.6509375162275 -910.0137142328242 -907.9292290554586 -907.6967559662232 -906.9086153836548 -905.589554064793 -905.7667764894627 NaN -898.171797062992 -907.9636894988439 NaN NaN NaN NaN NaN -907.6322883309663 -910.0859934236186 NaN -914.4499686141179 -903.114107724309
1.01325 -905.7699040796316 NaN -909.0315486440409 -912.5728682091543 NaN -904.5279256200783 NaN -897.9598286842395 -912.567431873736 -908.9777764434095 -906.8589589715848 -906.6122717238054 -905.8537045520991 -904.4162734130164 -904.6695036114174 NaN -897.2152572237919 -906.9312229710476 NaN NaN NaN NaN NaN -906.6235146466977 -909.0696837021778 NaN -913.3464601154949 -901.8150750121531
1.2665625 -904.5399501257102 NaN -907.886746729577 -911.4893560380979 NaN -903.5063011893935 NaN -896.5532934379895 -911.4661110338918 -907.9418213636231 -905.7939765608918 -905.5247764515575 -904.7927919056305 -903.2499556109644 -903.5725519457174 NaN -896.256837983472 -905.8982718009278 NaN NaN NaN NaN NaN -905.613300059326 -908.0507963319956 NaN -912.245195595 -900.5196577851052
1.5198749999999999 -903.3114961018928 NaN -906.737018884244 -910.4076686189806 NaN -902.486917755617 NaN -895.1534340733635 -910.3673837683839 -906.9081088458003 -904.7317316918687 -904.440142444621 -903.7347963589189 -902.0888344808959 -902.4782996883883 NaN -895.3004119792229 -904.8679734136765 NaN NaN NaN NaN NaN -904.6054621625035 -907.0338151088217 -902.0099401845891 -911.1408775908593 -899.2227910163729
1.7731875 -902.0868975572637 NaN -905.5901476882423 -909.3198796988852 NaN -901.465685002869 NaN -893.7596224530951 -909.2812285727655 -905.8677135868902 -903.6645974067449 -903.3595226589335 -902.678115988492 -900.9273702881286 -901.3802514351823 NaN -894.3467119858647 -903.8380913707362 NaN NaN NaN NaN NaN -903.5940967511282 -906.021158020557 -900.9964106542809 -910.0392347222983 -897.9297778835885
