#Name Atoms/UnitCell Density[g/cm^3] ConfigEnergy[eV/H2O] EnergyWrtErhoConvexHull[eV/H2O]                  
                 IHW  56     1.508695  -473.369189     0.133042
                 CHA  12     1.509333  -473.419081     0.082965
                 UOZ  40     1.509393  -473.358447     0.143582
                 TUN  96     1.511079  -473.378208     0.123333
                 BOF  24     1.511160  -473.438412     0.063106
                 IWR  28     1.512159  -473.354682     0.146547
                 SAF  64     1.512425  -473.401791     0.099361
                 UFI  32     1.514102  -473.396381     0.104286
                 LOS  24     1.514193  -473.381458     0.119183
                 JNT  32     1.515690  -473.437328     0.062880
                 BRE  16     1.516980  -473.398939     0.100895
                 LTL  36     1.517330  -473.389258     0.110475
                 ITG  56     1.518042  -473.364432     0.135095
                 TER  40     1.519740  -473.382878     0.116158
                 ITT  46     1.519816  -473.369415     0.129599
                 AFY  16     1.519934  -473.376032     0.122948
                 STW  60     1.520839  -473.367458     0.131260
                 EAB  36     1.521346  -473.380242     0.118330
                 RTH  16     1.522009  -473.408836     0.089544
                 CGF  18     1.523207  -473.413471     0.084562
                 USI  20     1.524439  -473.379653     0.118024
                 SBT  48     1.525289  -473.356744     0.140687
                 NSI   6     1.527369  -473.447750     0.049080
                 EZT  24     1.529579  -473.387133     0.109057
                 ITE  32     1.531594  -473.380541     0.115067
                 UTL  38     1.532125  -473.361153     0.134301
                 CAS  12     1.532452  -473.403285     0.092074
                 CFI  16     1.532691  -473.367876     0.127414
                 RHO  48     1.533522  -473.363946     0.131104
                 GOO  32     1.535207  -473.387666     0.106896
                 NPT  36     1.535413  -473.352647     0.141856
                 OWE  16     1.536876  -473.398992     0.095088
                 NAT  10     1.538270  -473.363229     0.130448
                 APC  16     1.540690  -473.428010     0.064967
                 CSV  20     1.541051  -473.368851     0.124021
                 STT  64     1.541247  -473.378802     0.114013
                 DON  32     1.542178  -473.372675     0.119871
                 SBE  64     1.542298  -473.364000     0.128511
                 SAS  16     1.542947  -473.403137     0.089187
                 AFT  72     1.544400  -473.366739     0.125164
                 OBW  38     1.548085  -473.379826     0.111012
                 JSN  16     1.549418  -473.383488     0.106964
                 EPI  12     1.549491  -473.383262     0.107169
                 RSN  18     1.550314  -473.367907     0.122286
                 ASV  20     1.552994  -473.356519     0.132899
                 VSV  18     1.554821  -473.411295     0.077594
                 ESV  48     1.556208  -473.386044     0.102444
                 OSI  16     1.559320  -473.387521     0.100067
                 JST  48     1.559423  -473.380423     0.107135
                 AHT  12     1.560862  -473.385020     0.102122
                 APD  16     1.561400  -473.367361     0.119625
                 ATT  12     1.562619  -473.368281     0.118353
                 SAV  48     1.564375  -473.366175     0.119951
                 SOS  24     1.568415  -473.385554     0.099403
                 SIV  32     1.570286  -473.373906     0.110510
                 YUG   8     1.570785  -473.392316     0.091956
                 LTJ  16     1.571769  -473.365775     0.118212
                 WEI  10     1.573220  -473.423760     0.059807
                 RRO  18     1.577562  -473.333497     0.148815
                 MAZ  36     1.580180  -473.379706     0.101848
                 ITW  12     1.581143  -473.378911     0.102365
                 THO  10     1.583851  -473.335183     0.145310
                 AFI  32     1.588189  -473.375437     0.103801
                 EDI   5     1.588575  -473.345816     0.133310
                 AFN  16     1.593137  -473.406958     0.070849
                 RWR  16     1.593440  -473.396684     0.081035
                 PUN  36     1.594773  -473.335742     0.141591
                 LEV  18     1.595868  -473.328679     0.148338
                 UEI  48     1.596453  -473.377260     0.099588
                 LAU  12     1.602321  -473.374359     0.100791
                 AWO  24     1.603405  -473.395004     0.079833
                 STI  18     1.603896  -473.398369     0.076326
                 PHI  16     1.605342  -473.394469     0.079807
                 UOS  24     1.610916  -473.377763     0.094901
                 PON  24     1.617145  -473.349487     0.120663
                 GIS   8     1.618923  -473.389269     0.080130
                 ATV  12     1.619193  -473.363779     0.105506
                 MER  16     1.620366  -473.406699     0.062091
                 AFS  56     1.622783  -473.325066     0.142703
                 DFT   8     1.627480  -473.418406     0.047381
                 AVL  42     1.630883  -473.328138     0.136212
                 OFF  18     1.635214  -473.325612     0.136910
                 MON   8     1.662277  -473.381366     0.069731
                 SBN  10     1.700664  -473.347881     0.087011
                 IRR  52     0.581441  -473.466652    -0.001634
                 IWV  38     0.839538  -473.508606     0.003007
        152_2_124693   9     1.818029  -473.375000     0.010346
         169_2_10645  12     1.507139  -473.432495     0.070186
       91_2_10265153  12     1.598725  -473.385206     0.090984
        151_2_208789  12     1.615293  -473.359819     0.111112
         152_2_65446  12     1.738155  -473.319924     0.099141
         180a_1_1846  12     1.437621  -473.383897     0.135221
       151_2_4815042   9     1.505039  -473.430433     0.072855
        91_2_8012188  16     1.548545  -473.358609     0.132096
         50_2_173647  10     1.748483  -473.481000    -0.066295
       95_2_10203061  12     1.524519  -473.406934     0.090720
            162_1_11  12     1.463835  -473.391025     0.122197
        149_2_394258  12     1.469626  -473.401599     0.110320
       151_2_4902440   9     1.473968  -473.455789     0.055154
       91_2_10610056  12     1.832449  -473.428000    -0.048742
        118_2_197373  12     1.584112  -473.384114     0.096303
      178_2_15702914  12     1.551380  -473.441843     0.048042
       91_2_10150121  12     1.567441  -473.346471     0.138768
        149_2_303872  12     1.569784  -473.366675     0.117886
          152_2_3137  12     1.593026  -473.337910     0.139929
        149_2_325084  12     1.584330  -473.365679     0.114675
       91_2_10501693  12     1.464804  -473.395273     0.117731
         PCOD8009222  12     1.549727  -473.368222     0.122141
         PCOD8000290   8     1.452605  -473.502800     0.012948
       151_2_3899314  12     1.635910  -473.350457     0.111771
       151_2_3096983  12     1.439737  -473.427044     0.091598
        91_2_9848656  12     1.524686  -473.408316     0.089290
       151_2_4739929   9     1.392476  -473.468968     0.060305
       151_2_2644351  12     1.516446  -473.414858     0.085131
         PCOD8022691  12     1.570411  -473.369515     0.114865
         152_2_65460  12     1.634637  -473.373735     0.089030
       151_2_3356576  12     1.519620  -473.387362     0.111709
         PCOD8016835  10     1.616536  -473.348373     0.122034
       151_2_3238080  12     1.558817  -473.412025     0.075708
         PCOD8030515  12     1.524328  -473.422240     0.075469
       151_2_3271603  12     1.525375  -473.403850     0.093556
        149_2_372270  12     1.491576  -473.391085     0.115897
         PCOD8004745  14     1.528457  -473.411529     0.084986
            162_1_13  12     1.554814  -473.360175     0.128716
       151_2_3122510  12     1.627808  -473.356039     0.109609
         51_3_106944  16     1.547965  -473.398356     0.092516
          169_2_7915  12     0.847600  -473.365950     0.147119
         PCOD8023856  12     1.467193  -473.417157     0.095310
         PCOD8003605  16     1.595398  -473.383468     0.093685
         PCOD8032167  12     1.550656  -473.408485     0.081609
       151_2_3403392  12     1.489652  -473.384345     0.123070
         PCOD8029051  10     1.555707  -473.426089     0.062544
         PCOD8046497  12     1.454278  -473.452263     0.063109
         PCOD8029412  12     1.363280  -473.437532     0.098308
         PCOD8023600  12     1.548302  -473.372278     0.118497
         PCOD8004046  12     1.467253  -473.425674     0.086779
         PCOD8025126  14     1.506348  -473.390617     0.112293
         PCOD8034793  12     1.509875  -473.437866     0.064024
         PCOD8036922  12     1.468357  -473.456353     0.055852
         PCOD8024705  12     1.503559  -473.419292     0.084424
         PCOD8033983  12     1.508648  -473.419462     0.082782
         PCOD8027155  14     1.498523  -473.426832     0.078341
          207_1_4435  12     0.964793  -473.545556    -0.011330
         134_2_10633  12     0.966596  -473.543071    -0.008519
        126_2_187838  12     0.966603  -473.543654    -0.009101
         PCOD8046505  14     1.398007  -473.434101     0.093927
           123_3_534  12     0.969030  -473.539667    -0.004676
           136_2_616  12     0.973170  -473.535876    -0.000138
          176_2_5256  12     0.974467  -473.528151     0.007821
          54_2_89505  16     1.541154  -473.387428     0.105414
            58_2_309  16     1.490684  -473.404789     0.102394
          12_2_29187   6     0.998064  -473.512543     0.027690
         48_2_372267  10     1.012378  -473.408616     0.134201
       151_2_3101693  12     1.032065  -473.465672     0.080699
      178_2_14509362  18     1.487133  -473.411533     0.096449
          91a_1_1025   8     1.055731  -473.495551     0.055092
          114_2_9790  16     1.056373  -473.483367     0.067392
         160-2_2_528  12     1.056941  -473.517780     0.033082
          114_2_9631  16     1.060940  -473.482192     0.069392
       151_2_3166595  12     1.066205  -473.488552     0.063982
         181a_1_2100  12     1.067637  -473.486395     0.066398
         180a_1_2099  12     1.067675  -473.486032     0.066768
       151_2_3097078  12     1.067753  -473.487296     0.065518
         180a_1_1327  12     1.069320  -473.485897     0.067200
         160-2_2_548  12     1.078109  -473.507964     0.046719
         PCOD8168707  12     1.080025  -473.464452     0.090577
         PCOD8009580  16     1.081464  -473.508306     0.046983
       151_2_3171166  12     1.082870  -473.482531     0.073012
        167-2_1_1288  12     1.083744  -473.462798     0.092903
         152_2_86546  12     1.085355  -473.477897     0.078095
        91_2_4046968  16     1.092078  -473.523958     0.033247
        91_2_5580907  16     1.095998  -473.522067     0.035846
          12_2_17561   8     1.097647  -473.526887     0.031324
          94_2_97544  12     1.098112  -473.520315     0.037980
        91_2_7861665  16     1.098922  -473.521183     0.037258
        91_2_8839639  16     1.104324  -473.516071     0.043345
          145_2_5726   6     1.105640  -473.558225     0.001429
          144_2_7301   6     1.105649  -473.558462     0.001193
            58_2_411  12     1.105729  -473.518045     0.041625
         PCOD8033785  16     1.106740  -473.533729     0.026123
        91_2_8844884  16     1.106750  -473.515141     0.044713
          94_2_97665  12     1.107815  -473.515662     0.044384
          20_2_28631   6     1.107847  -473.554202     0.005850
         PCOD8046607  16     1.108107  -473.469819     0.090280
         PCOD8045502  16     1.108363  -473.518281     0.041864
           169a_1_15   6     1.110695  -473.551340     0.009226
           62_2_5823  12     1.110878  -473.544497     0.016102
          144_2_9846   6     1.111381  -473.551943     0.008747
            58_2_511  12     1.111796  -473.544138     0.016627
         93_2_535318  16     1.573432  -473.397073     0.086433
          144_2_5726   6     1.112473  -473.548987     0.011900
            58_2_552  12     1.113347  -473.543358     0.017687
         PCOD8047606  14     1.113729  -473.532872     0.028242
         59_4_442560  12     1.114053  -473.544138     0.017035
          20_2_28535   6     1.114574  -473.549187     0.012080
          144_2_9766   6     1.114682  -473.549553     0.011733
            58_2_560  12     1.116911  -473.539836     0.021852
         59_4_442566  12     1.119556  -473.537730     0.024436
          60_2_67191  12     1.119593  -473.543400     0.018773
          12_2_38086   6     1.120658  -473.534857     0.027508
           62_2_5939  12     1.121153  -473.536875     0.025579
          12_2_38094   6     1.121944  -473.535557     0.027040
         PCOD8031916  16     1.121966  -473.521991     0.040610
         59_4_442568  12     1.122165  -473.537148     0.025489
       61_3_14875117  24     1.122173  -473.538500     0.024138
          20_2_28238   6     1.122193  -473.535168     0.027474
       61_3_15643853  24     1.123301  -473.537821     0.025021
         PCOD8035713  12     1.123705  -473.534559     0.028356
           62_2_5819  12     1.124516  -473.538533     0.024528
       61_3_14308317  24     1.124567  -473.536929     0.026142
          60_2_67122  12     1.127272  -473.537242     0.026317
       61_3_20283532  24     1.128590  -473.535933     0.027864
         13_2_256524   6     1.128659  -473.532995     0.030814
         PCOD8035459  16     1.129862  -473.543855     0.020172
         PCOD8047078  12     1.130524  -473.516075     0.048071
          12_2_34931   6     1.131677  -473.530432     0.033922
         PCOD8046621  16     1.133280  -473.503578     0.061066
         PCOD8029815  14     1.133840  -473.516885     0.047860
          20_2_26430   6     1.134315  -473.531218     0.033612
             36_2_72   6     1.135047  -473.533603     0.031360
          20_2_26370   6     1.135236  -473.530547     0.034450
         PCOD8033847  16     1.135933  -473.526712     0.038411
          2_2_625538   4     1.136178  -473.455850     0.109317
         PCOD8019617  14     1.136563  -473.518101     0.047135
         PCOD8169309  12     1.137530  -473.530773     0.034638
         PCOD8026547  14     1.141213  -473.483861     0.082215
         PCOD8047560  16     1.141229  -473.523802     0.042277
         PCOD8035959  16     1.141942  -473.518701     0.047506
         PCOD8047861  16     1.143049  -473.545106     0.021301
          12_2_38082   6     1.143648  -473.529243     0.037272
           115_2_114   8     1.143976  -473.551188     0.015387
         PCOD8045496  16     1.145205  -473.518262     0.048534
         PCOD8036698  16     1.146540  -473.537265     0.029773
         PCOD8032424  16     1.147838  -473.531919     0.035353
         PCOD8122335  18     1.148313  -473.486389     0.080969
         PCOD8123128  16     1.149231  -473.533872     0.033651
         PCOD8014537  16     1.149653  -473.530436     0.037164
          90_2_41514   8     1.149665  -473.541747     0.025855
          2_2_624790   4     1.149706  -473.448118     0.119491
         PCOD8047264  14     1.149844  -473.513245     0.054389
         PCOD8036801  16     1.150477  -473.536553     0.031195
         PCOD8034488  16     1.151814  -473.547506     0.020484
         PCOD8034564  16     1.152055  -473.515098     0.052935
          2_2_325904   4     1.152383  -473.542877     0.025215
            112_1_31   8     1.152417  -473.541774     0.026325
         PCOD8036793  12     1.152479  -473.516694     0.051416
         PCOD8035813  16     1.153481  -473.511600     0.056691
          2_2_331801   4     1.154229  -473.540095     0.028331
         PCOD8156510  16     1.154482  -473.549184     0.019287
         PCOD8047610  14     1.154531  -473.533009     0.035471
         PCOD8047386  16     1.154557  -473.514482     0.054003
         PCOD8171792  12     1.154856  -473.566375     0.002164
         PCOD8047384  16     1.155339  -473.516018     0.052608
          56_2_44120  12     1.155340  -473.565108     0.003518
         PCOD8033882  14     1.155886  -473.508571     0.060154
          12_2_18148   8     1.155970  -473.538417     0.030323
         PCOD8032119  14     1.156304  -473.496125     0.072675
         111_2_27838   8     1.156357  -473.539146     0.029664
         PCOD8036018  16     1.156910  -473.523012     0.045898
         55_3_102010  16     1.157195  -473.540489     0.028472
         PCOD8035707  16     1.157328  -473.505118     0.063867
         PCOD8032717  16     1.157541  -473.504166     0.064858
         138_2_31011  12     1.157725  -473.562639     0.006418
         PCOD8034329  16     1.158080  -473.518616     0.050505
         PCOD8036865  14     1.158349  -473.556744     0.012425
         PCOD8034328  16     1.159177  -473.520856     0.048463
          12_2_36847   6     1.159247  -473.519905     0.049427
         53_3_697468  20     1.159700  -473.542891     0.026522
          2_2_637426   4     1.160030  -473.539368     0.030105
        62_3_7247287  20     1.161085  -473.540437     0.029226
         PCOD8036828  16     1.161898  -473.536423     0.033387
         PCOD8120933  16     1.162430  -473.479621     0.090285
         PCOD8037140  16     1.162558  -473.552483     0.017446
         PCOD8047353  16     1.163270  -473.524954     0.045104
         PCOD8030966  16     1.163337  -473.527528     0.042542
       180_2_5904304  18     1.164044  -473.541664     0.028534
         PCOD8033704  14     1.164147  -473.543076     0.027140
         PCOD8034222  12     1.164611  -473.495592     0.074708
         PCOD8047834  14     1.164727  -473.548133     0.022188
         PCOD8156224  14     1.165034  -473.444079     0.126297
         PCOD8037313  16     1.165432  -473.521321     0.049127
         PCOD8047425  14     1.165706  -473.494386     0.076112
         PCOD8045446  11     1.166072  -473.481594     0.088970
          12_2_17991   8     1.166843  -473.547265     0.023438
         PCOD8032695  14     1.166857  -473.523279     0.047426
         PCOD8033859  14     1.167268  -473.515991     0.054789
         PCOD8047311  10     1.167533  -473.494801     0.076026
         PCOD8036178  12     1.168503  -473.538089     0.032914
          12_2_39457   4     1.168849  -473.532825     0.038240
         53_3_725505  16     1.509744  -473.405193     0.096734
          2_2_330596   4     1.169125  -473.531932     0.039183
         PCOD8129411  12     1.169415  -473.511854     0.059313
         PCOD8035794  16     1.169706  -473.509332     0.061888
       158_3_3548579  18     1.170469  -473.456946     0.114412
         PCOD8036872  12     1.170611  -473.554173     0.017210
         PCOD8046985  16     1.170857  -473.516842     0.054586
         PCOD8032352  16     1.171418  -473.490089     0.081440
         PCOD8047865  16     1.171640  -473.555985     0.015584
          2_2_462673   4     1.171655  -473.532578     0.038994
         PCOD8029746  14     1.172660  -473.491408     0.080345
          2_2_330472   4     1.172699  -473.529500     0.042260
         PCOD8037557  14     1.172929  -473.526717     0.045085
          2_2_558171   4     1.173759  -473.531372     0.040579
         PCOD8047851  14     1.175051  -473.547669     0.024516
          2_2_602420   4     1.175232  -473.530870     0.041347
       158_3_3404741  18     1.175290  -473.451896     0.120332
         PCOD8023478  14     1.175353  -473.522450     0.049789
         PCOD8047552  16     1.175394  -473.505639     0.066608
         PCOD8036198  16     1.176361  -473.513040     0.059381
         PCOD8052565  10     1.177169  -473.530790     0.041777
         169_2_10608  12     1.177275  -473.525863     0.046723
         50_2_138080  16     1.177593  -473.552983     0.019661
         PCOD8033759  14     1.177624  -473.509218     0.063431
          94_2_68464  16     1.178074  -473.531482     0.041248
          169_2_7763  12     1.178210  -473.527262     0.045493
         PCOD8024452  16     1.178453  -473.518359     0.054440
          2_2_626040   4     1.178621  -473.427662     0.145167
         PCOD8172140  12     1.178804  -473.510954     0.061908
         PCOD8037530  16     1.179891  -473.531720     0.041338
         PCOD8046320  16     1.180101  -473.484053     0.089043
         PCOD8031018  14     1.180997  -473.485511     0.087747
         PCOD8033778  14     1.181914  -473.507271     0.066153
         PCOD8035402  14     1.182084  -473.531171     0.042283
         PCOD8033735  14     1.182904  -473.526630     0.046972
         PCOD8036196  16     1.183179  -473.541841     0.031811
         PCOD8034633  16     1.183691  -473.488448     0.085297
         PCOD8047962  16     1.183787  -473.532208     0.041554
         PCOD8047751  16     1.183850  -473.513641     0.060132
         PCOD8035991  16     1.183905  -473.533056     0.040727
         PCOD8047842  16     1.183936  -473.534893     0.038896
         PCOD8037070  16     1.183961  -473.555156     0.018637
              12_1_6   4     1.184407  -473.525365     0.048509
          2_2_333991   4     1.184417  -473.525235     0.048641
         PCOD8036856  16     1.184752  -473.542064     0.031872
         PCOD8034288  16     1.184888  -473.527596     0.046365
         PCOD8036888  14     1.185091  -473.540664     0.033333
         125_2_50494  10     1.185147  -473.394067     0.179940
          2_2_623457   4     1.185859  -473.576152    -0.002016
         PCOD8033313  16     1.185865  -473.495253     0.078884
         PCOD8047881  16     1.185951  -473.540009     0.034144
        172_2_406476   9     1.186237  -473.452336     0.121868
         PCOD8033073  16     1.186409  -473.519201     0.055034
             12_1_11   2     1.186430  -473.577562    -0.003323
       180_2_6140944   9     1.186450  -473.450922     0.123321
         PCOD8037594  16     1.186821  -473.531026     0.043284
         PCOD8036035  14     1.186827  -473.500522     0.073789
          2_2_559953   4     1.187149  -473.577913    -0.003544
        119_4_884463   6     1.187152  -473.578042    -0.003673
           5_2_22346   4     1.187170  -473.576880    -0.002507
         122_2_90833   6     1.187181  -473.577748    -0.003373
        171_2_408169   9     1.187354  -473.451806     0.122600
         PCOD8036266  14     1.187385  -473.513247     0.061164
           141_2_378   6     1.187391  -473.577818    -0.003406
          2_2_401671   4     1.187557  -473.576953    -0.002511
         PCOD8034513  14     1.187698  -473.522984     0.051484
          2_2_141010   4     1.187720  -473.575300    -0.000828
          2_2_443561   4     1.187823  -473.576188    -0.001698
          2_2_603328   4     1.188031  -473.523195     0.051333
         PCOD8035110  12     1.188072  -473.515199     0.059336
          2_2_447619   4     1.188088  -473.576892    -0.002354
          2_2_433265   4     1.188186  -473.574707    -0.000151
          2_2_219633   4     1.188191  -473.576732    -0.002175
          2_2_617660   4     1.188228  -473.574915    -0.000351
         122_2_90732   6     1.188309  -473.576592    -0.002014
             1_2_741   2     1.188453  -473.576587    -0.001983
          70-2_1_216   2     1.188571  -473.575672    -0.001046
         13_2_181221   8     1.188584  -473.575857    -0.001229
         PCOD8036205  16     1.188732  -473.537899     0.036756
          2_2_254771   4     1.188749  -473.575715    -0.001057
              2_1_71   2     1.188771  -473.575738    -0.001076
       48-2_2_105274  16     1.188786  -473.573282     0.001382
           53_2_1649   8     1.188826  -473.575285    -0.000613
          12_2_40901   4     1.188866  -473.575688    -0.001009
         53_3_802195  12     1.188866  -473.575633    -0.000954
          60_2_45695  16     1.188897  -473.574808    -0.000124
          2_2_425075   4     1.188930  -473.574392     0.000298
            29_2_767   8     1.188944  -473.573729     0.000964
           14_2_4466   8     1.189057  -473.573516     0.001197
           40_2_1012   6     1.189097  -473.575652    -0.000932
          2_2_275387   4     1.189188  -473.575693    -0.000956
          2_2_594273   4     1.189238  -473.521035     0.053711
       166-2_2_36442   4     1.189272  -473.574032     0.000720
          13_2_18376   8     1.189280  -473.570564     0.004190
          21_2_20848   8     1.189331  -473.570794     0.003969
          48_2_24654  16     1.189422  -473.573159     0.001620
        48-2_2_15815  16     1.189450  -473.573439     0.001345
          2_2_441931   4     1.189451  -473.574423     0.000361
          2_2_302599   4     1.189459  -473.573497     0.001289
         22_2_213370   2     1.189542  -473.574879    -0.000078
          55_3_97817  16     1.189602  -473.573884     0.000928
          12_2_40944   4     1.189648  -473.575153    -0.000333
         13_2_152013   8     1.189715  -473.573981     0.000851
           52_2_4319  16     1.189748  -473.571651     0.003187
            18_2_579   8     1.189751  -473.573035     0.001804
           49_2_2880  12     1.189815  -473.572466     0.002384
          52_2_58375  12     1.189826  -473.571295     0.003557
